CASEB,data/Scotland/2017/edinburgh17-14.blt,8,10630,3544,inf
CASEB,data/Scotland/2017/edinburgh17-15.blt,5,11699,3900,inf
CASEB,data/Scotland/2017/edinburgh17-16.blt,7,11731,3911,inf
CASEB,data/Scotland/2017/edinburgh17-17.blt,7,10431,3478,inf
CASEB,data/Scotland/2017/falkirk17-01.blt,6,5399,1800,inf
CASEB,data/Scotland/2017/falkirk17-02.blt,6,5604,1869,inf
CASEB,data/Scotland/2017/falkirk17-03.blt,10,6321,2108,inf
CASEB,data/Scotland/2017/falkirk17-04.blt,7,7067,2356,inf
1Q,data/Scotland/2017/falkirk17-05.blt,6,5628,1877,inf
1Q,data/Scotland/2017/falkirk17-06.blt,6,6492,2165,inf
1Q,data/Scotland/2017/falkirk17-07.blt,4,6210,2071,470
1Q,data/Scotland/2017/falkirk17-08.blt,8,5405,1802,197
CASEB,data/Scotland/2017/falkirk17-09.blt,7,5628,1877,inf
CASEB,data/Scotland/2017/fife17-01.blt,8,6211,2071,inf
CASEB,data/Scotland/2017/fife17-02.blt,7,5388,1797,inf
CASEC,data/Scotland/2017/fife17-03.blt,9,7324,2442,inf
CASEB,data/Scotland/2017/fife17-04.blt,7,7166,2389,inf
CASEB,data/Scotland/2017/fife17-05.blt,9,5099,1700,inf
1Q,data/Scotland/2017/fife17-06.blt,7,7763,2588,inf
CASEB,data/Scotland/2017/fife17-07.blt,7,6573,2192,205
CASEB,data/Scotland/2017/fife17-08.blt,7,5104,1702,inf
CASEB,data/Scotland/2017/fife17-09.blt,10,5888,1963,inf
CASEB,data/Scotland/2017/fife17-10.blt,7,5063,1688,inf
CASEB,data/Scotland/2017/fife17-11.blt,9,4878,1627,inf
CASEB,data/Scotland/2017/fife17-12.blt,9,3993,1332,inf
CASEB,data/Scotland/2017/fife17-13.blt,8,4772,1591,inf
CASEB,data/Scotland/2017/fife17-14.blt,9,6564,2189,inf
CASEC,data/Scotland/2017/fife17-15.blt,10,4845,1616,inf
1Q,data/Scotland/2017/fife17-16.blt,7,5939,1980,inf
1Q,data/Scotland/2017/fife17-17.blt,7,6432,2145,117
CASEB,data/Scotland/2017/fife17-18.blt,10,5027,1676,inf
